id_cpte,delqcycle1,delqcycle2,delqcycle3,delqcycle4,delqcycle5,delqcycle6,delqcycle7,delqcycle8,delqcycle9,delqcycle10,delqcycle11,delqcycle12,delqcycle13,avg_balance,avg_cashbalance,creditlimit_max,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,default,date,num,avg_pay,total_reversal
10001822,0,0,0,0,0,0,0,0,0,0,0,0,0,10701.618,7.2142859,11500,-1,-1,4,1,2,-2,0,2,2,1,-2,1,2,0,20058,14,543.25354,0
10007972,0,0,0,0,0,0,0,0,0,0,0,0,0,332.94574,.22071429,700,19,16,16,16,13,15,15,16,20,17,16,17,14,0,19693,50,247.2226,0
10012520,0,0,0,0,0,0,0,0,0,0,0,0,0,946.82361,382.42215,3200,18,13,16,16,16,18,18,14,17,13,17,17,17,0,20058,15,477.72736,0
10025534,1,0,0,1,0,1,0,0,0,1,0,1,0,5788.0156,0,6100,24,22,26,25,24,26,26,27,26,21,27,25,26,1,19693,6,1579.5499,0
10033579,0,0,0,0,0,0,0,0,0,0,0,0,0,412.29642,4.6742859,500,0,2,5,-2,-1,2,0,-2,5,-1,-1,4,-1,0,20423,44,82.637955,0
10034823,0,0,0,0,1,0,1,0,0,0,0,1,0,1016.5529,0,1800,2,2,5,2,2,7,2,3,8,4,8,4,2,0,19328,9,1098.9922,0
10036020,0,0,0,0,0,0,0,0,0,0,0,0,0,753.9693,0,9100,2,1,4,5,5,4,6,6,7,2,5,3,2,0,19328,13,759.30005,0
10068805,0,0,0,0,0,0,0,0,0,0,0,0,0,328.07498,47.280712,10100,24,28,28,22,26,28,25,26,28,26,29,24,25,0,20423,41,680.58435,0
10069450,0,0,0,0,0,0,0,0,0,0,0,0,0,130.035,22.5,1600,0,2,2,3,2,4,1,3,2,2,0,5,-1,0,20058,59,97.334068,0
10081565,0,0,0,0,0,0,0,0,0,0,0,0,0,1022.0685,0,1600,24,22,26,22,22,23,24,27,27,25,28,25,26,1,20789,20,173.2325,0
10083607,0,0,0,0,0,0,0,0,0,0,0,0,0,783.32715,119.36428,1100,3,-1,6,3,-1,4,3,0,2,0,0,2,3,1,20423,31,246.90613,0
10097162,0,0,0,0,0,0,0,0,0,0,0,0,0,1351.4414,0,3300,15,14,19,13,14,16,18,14,19,16,19,20,18,0,19693,39,325.38129,0
10102455,0,0,0,0,0,0,0,0,0,0,0,0,0,434.0336,190.06429,700,24,24,26,25,24,26,24,25,27,24,24,27,26,1,20789,29,164.92448,0
10108876,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.6237,124.73785,2600,25,24,22,21,20,22,23,23,22,21,27,27,24,0,20789,58,409.3938,0
10109897,0,0,0,0,0,0,0,0,0,0,0,0,0,174.47643,0,1100,19,13,17,13,13,16,14,16,19,16,16,16,17,0,20789,12,172.53084,0
10109900,0,0,0,0,0,0,0,0,0,0,0,0,0,935.62787,0,10200,13,9,12,12,8,14,9,13,15,12,14,14,12,0,19693,12,1013.7875,0
10156714,0,0,0,0,0,0,0,0,0,0,0,0,0,260.6257,107.33785,800,17,12,12,13,11,11,11,12,13,13,12,15,12,0,20058,29,102.45069,0
10162114,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.1156,0,10100,10,9,14,8,12,13,9,10,15,8,11,15,12,0,20789,11,1358.7999,0
10166704,0,0,0,0,0,0,0,0,0,0,0,0,0,234.22214,0,7200,7,4,5,2,4,8,7,8,9,3,8,8,5,0,19328,23,339.00089,0
10174022,0,0,0,0,0,0,0,0,0,0,0,0,0,11.004999,0,1200,14,12,13,10,11,12,11,14,13,10,15,15,15,0,20423,48,87.150826,0
10179689,0,0,0,0,0,0,0,0,0,0,0,0,0,3952.5208,0,5200,13,11,12,8,12,13,9,14,12,12,11,14,12,0,19328,24,675.33832,0
10179949,0,0,0,0,0,0,0,0,0,0,0,0,0,1196.5228,374.98215,2500,15,17,16,13,17,19,14,17,17,14,19,17,18,1,20789,1,0,0
10186138,0,0,0,0,0,0,0,0,0,0,0,0,0,3392.9556,120.84286,5100,15,15,19,16,12,13,13,12,18,16,17,19,14,0,19328,25,902.88,0
10189914,0,0,0,0,0,0,0,0,0,0,1,0,0,1198.9022,0,5300,22,22,23,23,22,19,25,20,20,19,21,26,21,0,20058,12,1120.9092,0
10193890,0,0,0,0,0,0,0,0,0,0,0,0,0,871.27209,57.284283,1400,3,2,3,-1,2,4,1,0,6,-1,2,5,2,0,20058,53,154.73848,0
10195847,1,0,1,0,0,1,0,0,1,0,1,0,0,780.0343,0,2300,27,25,24,24,24,24,26,24,26,22,24,27,23,0,19328,1,0,0
10205391,0,0,0,0,0,0,1,1,0,0,0,0,0,402.96359,83.376427,600,23,28,28,22,28,24,28,28,28,26,28,27,25,1,20423,66,139.47636,0
10215936,0,0,0,0,0,0,0,0,0,0,0,0,0,25706.416,0,31100,23,25,24,24,21,26,27,27,23,21,25,24,23,0,19328,73,847.7196,0
10218825,0,0,0,0,0,0,0,0,0,0,0,0,0,2215.2878,130.16429,10200,10,12,11,12,11,14,10,10,12,11,14,11,15,0,20058,30,838.81165,0
10226838,0,0,0,0,0,0,0,0,0,0,0,0,0,2065.6929,20.5,15100,22,20,22,20,20,25,22,21,26,23,27,26,21,0,20058,12,2134.3691,0
10234237,0,0,0,0,0,0,0,0,0,0,0,0,0,310.08786,0,5700,26,21,22,24,23,25,26,21,23,23,26,27,24,0,19693,45,237.49399,0
10237041,0,0,0,0,0,0,0,0,0,0,0,0,0,271.96857,0,700,25,21,19,22,22,22,21,23,19,23,20,26,21,0,20789,15,305.974,0
10249046,0,0,0,0,0,0,0,0,0,0,0,0,0,2315.4143,4.6057143,10200,21,19,19,20,21,22,18,19,18,19,19,22,19,0,20058,12,2309.4167,0
10251337,0,0,0,0,0,0,0,0,0,0,0,0,0,554.27789,0,1600,0,1,4,1,-1,1,3,2,5,1,-2,1,1,0,20058,24,559.22583,0
10269572,0,0,0,0,0,0,0,0,0,0,0,0,0,577.51501,132.45215,2300,14,12,13,9,12,14,14,15,13,13,12,15,15,0,20058,81,219.4852,0
10280562,0,0,0,0,0,0,0,0,0,0,0,0,0,4290.4502,0,20100,10,7,10,10,6,8,11,6,10,6,12,12,9,0,19328,12,4334.8657,0
10291854,0,0,0,0,0,0,0,0,0,1,0,0,0,1589.8121,0,2100,23,21,24,22,25,24,26,28,23,24,28,28,23,0,19693,19,237.92262,0
10294646,0,0,0,0,1,0,0,1,0,0,1,1,2,14533.909,559.1886,15000,22,18,19,23,22,19,24,19,20,20,20,23,21,1,19693,16,1320.5,0
10303856,0,1,0,0,0,0,0,0,0,0,0,0,0,1222.0964,584.73285,3500,13,11,12,9,8,10,9,13,11,12,15,12,11,1,19693,61,142.16737,0
10304544,0,0,0,0,0,0,0,0,0,0,0,0,0,492.31,0,5100,26,29,28,23,29,24,24,29,28,26,25,27,25,0,20058,12,502.41666,0
10315934,0,0,0,0,0,0,0,0,0,1,0,0,0,71.219284,.14428571,1200,22,21,25,23,21,26,25,21,23,23,24,26,21,0,19328,11,351.34818,0
10321384,0,0,0,0,0,0,0,0,0,0,0,0,0,405.07571,0,5100,3,3,6,0,0,2,4,3,3,3,2,1,2,0,19693,29,576.74103,0
10322251,0,0,0,0,0,0,0,0,0,0,0,0,0,1043.6086,0,2100,7,5,12,6,9,9,9,9,12,5,9,11,8,0,19693,15,326.76999,0
10323146,0,0,0,0,0,0,0,0,0,0,0,0,0,599.08643,0,4100,7,10,10,9,10,8,8,7,13,10,10,12,7,0,20789,12,451.25247,0
10348801,0,0,0,0,0,0,0,0,0,0,0,0,0,1456.6943,0,5600,26,24,27,22,22,24,24,27,26,21,27,24,26,0,19328,13,67.314621,0
10351106,0,0,1,0,0,0,0,0,1,1,1,1,2,4260.0107,78.130722,5800,15,13,17,17,17,19,14,14,17,14,19,16,14,1,20423,31,188.4216,0
10355455,0,0,0,0,0,0,0,0,0,0,0,0,0,607.20215,0,8000,24,29,24,23,26,27,24,26,27,22,26,28,29,0,20423,17,996.28412,0
10356117,0,0,0,0,0,0,0,0,0,0,0,0,0,1252.8907,0,2200,26,25,26,24,22,24,23,27,24,24,25,25,22,0,20058,20,295.98102,0
10358554,0,0,0,0,0,0,0,0,0,0,0,0,0,112.03357,0,5700,13,12,12,10,11,14,13,11,16,9,16,18,15,0,20789,30,291.60565,0
10370887,0,0,0,1,2,3,0,1,0,1,0,0,1,2182.635,193.02144,5000,17,15,22,18,16,21,16,20,18,16,18,21,19,1,19693,7,945.19568,0
10373514,1,0,0,0,0,1,0,1,2,0,0,0,1,574.22717,0,500,21,22,22,17,21,19,18,21,18,20,19,24,20,1,19328,7,189.04286,0
10376426,0,1,1,2,0,0,0,0,0,0,0,0,1,1051.7214,691.92499,1200,25,21,23,23,24,23,26,20,26,23,24,23,25,1,20423,23,171.21478,0
10382055,0,0,0,0,0,0,0,0,0,0,0,1,0,385.49072,36.962139,1700,17,17,17,17,14,19,16,15,18,18,21,21,15,1,20058,22,301.64227,0
10385394,0,0,0,0,0,0,0,0,0,0,0,0,0,43.143574,0,3000,17,11,16,12,12,11,10,12,16,12,13,15,12,0,20058,53,58.734715,0
10389335,0,0,0,0,0,0,0,0,0,0,0,0,0,4649.1558,62.128571,5200,7,7,9,6,4,8,7,5,9,6,8,4,8,0,20058,24,194.60374,0
10392815,0,0,0,0,0,0,0,0,0,0,0,0,0,6143.6025,0,6100,8,7,9,9,6,9,11,10,9,7,12,9,7,0,20058,35,145.50229,0
10426874,0,0,0,0,0,0,0,0,0,0,0,0,0,948.03925,0,1700,20,19,21,20,21,21,21,22,21,20,23,22,23,0,20058,15,929.89264,0
10431787,0,0,0,0,0,0,0,0,0,0,0,0,0,2127.5964,0,5600,3,1,5,-2,1,-1,3,-2,1,2,-2,0,1,0,19328,13,2044.5747,0
10442660,0,0,0,0,0,0,0,0,0,0,0,0,0,1284.8136,83.428574,15900,9,8,9,9,6,5,7,8,8,5,9,9,5,0,20789,16,877.6225,0
10456523,0,0,0,0,0,0,0,0,0,0,0,0,0,399.45999,0,12200,-1,-2,5,-2,2,-1,2,-1,5,1,-2,3,-2,0,19328,13,369.65384,0
10470379,0,0,0,0,0,0,0,0,0,0,0,0,0,367.6907,0,7100,3,-2,4,-2,2,2,0,-1,4,1,-1,1,1,0,20789,11,547.99091,0
10483801,0,0,0,0,0,0,0,0,0,0,0,0,0,509.92926,0,10100,14,15,13,10,12,14,14,15,12,10,12,15,15,0,20423,12,478.24414,0
10490463,0,0,0,0,0,0,0,0,0,0,0,0,0,6805.96,0,10300,26,26,24,25,29,24,24,29,27,23,29,27,29,0,20789,25,1376.8821,0
10500280,0,0,0,0,0,0,0,0,0,0,0,1,0,974.74646,172.27429,5900,4,0,2,-1,0,2,3,2,5,3,-1,2,-1,0,20423,19,279.44946,0
10500652,0,1,2,0,0,0,0,0,0,0,0,0,0,550.54211,26.429287,600,2,2,7,5,2,4,5,6,7,1,5,3,2,1,19693,49,23.658981,0
10526122,0,0,0,0,0,0,0,0,0,0,0,0,0,11.406428,0,1300,3,8,8,5,4,5,7,5,8,2,9,4,7,0,20058,47,80.795532,0
10529676,0,0,0,0,0,0,0,0,0,0,0,0,0,5893.0156,2382.2144,7500,26,21,25,20,23,25,22,23,26,21,27,24,25,0,19693,28,574.95502,0
10538846,0,0,0,0,0,0,0,0,0,0,0,0,0,422.80215,0,2800,7,8,12,8,8,9,9,6,12,9,7,8,9,0,19328,12,110.17084,0
10539167,1,0,0,1,0,0,0,0,0,0,0,0,0,10711.13,0,17100,25,19,19,23,19,19,24,22,19,19,21,23,23,0,20789,15,1636.4,0
10541364,0,0,0,0,0,0,0,0,0,0,0,0,0,488.30215,0,1050,11,11,12,11,12,14,12,13,14,8,14,15,15,0,19693,19,242.39525,0
10548132,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.88,0,11300,-1,1,1,-1,1,-1,2,1,1,-1,1,4,-1,0,20789,18,1300.7328,0
10553123,0,0,0,0,0,0,0,0,0,0,0,1,2,315.28928,0,1000,22,18,22,22,19,22,22,22,22,23,23,22,24,1,20789,22,64.807274,0
10554402,0,0,0,0,0,0,0,0,0,0,0,0,0,127.96001,0,12300,7,9,9,6,8,5,9,6,11,6,10,8,9,0,20058,34,605.77527,0
10554981,0,0,0,0,0,0,0,0,0,0,0,0,0,5258.3501,0,6600,0,-1,3,-1,2,5,3,-1,2,2,3,4,3,0,19328,13,387.6846,0
10574835,0,0,0,0,0,0,0,0,0,0,0,0,0,2238.5415,0,18200,2,1,2,-1,-1,1,2,2,4,-2,1,0,-2,0,20423,12,2271.095,0
10577187,0,0,0,0,0,0,0,0,0,0,0,0,0,9908.3125,0,10400,24,29,28,26,26,29,28,30,26,26,27,26,27,0,20058,65,936.91895,0
10614059,0,0,0,0,0,0,0,0,0,0,0,0,0,3628.6208,0,24400,2,-1,5,1,-1,-2,0,-1,5,-2,2,3,1,1,19693,29,4415.7373,0
