id_cpte,lag_pay1,lag_pay2,lag_pay3,lag_pay4,lag_pay5,lag_pay6,lag_pay7,lag_pay8,lag_pay9,lag_pay10,lag_pay11,lag_pay12,lag_pay13,delqcycle1,delqcycle2,delqcycle3,delqcycle4,delqcycle5,delqcycle6,delqcycle7,delqcycle8,delqcycle9,delqcycle10,delqcycle11,delqcycle12,delqcycle13,avg_balance,avg_cashbalance,creditlimit_max,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,default,date,num,avg_pay,total_reversal,total_exceed,no_obs
10001822,30,30,10,15,20,7,20,11,20,16,25,17,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10701.618,7.2142859,11500,-1,-1,4,1,2,-2,0,2,2,1,-2,1,2,0,20058,14,543.25354,0,0,1
10007972,30,30,13,3,-1,-9,-11,-15,-7,-6,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332.94574,.22071429,700,19,16,16,16,13,15,15,16,20,17,16,17,14,0,19693,50,247.2226,0,0,1
10012520,30,30,30,-10,-12,-17,-9,-3,-8,-7,-10,-9,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,946.82361,382.42215,3200,18,13,16,16,16,18,18,14,17,13,17,17,17,0,20058,15,477.72736,0,0,1
10025534,30,30,-6,30,-8,30,-13,30,-6,30,-12,30,-17,1,0,0,1,0,1,0,0,0,1,0,1,0,5788.0156,0,6100,24,22,26,25,24,26,26,27,26,21,27,25,26,1,19693,6,1579.5499,0,0,1
10033579,30,30,0,13,12,7,11,25,0,30,25,-3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,412.29642,4.6742859,500,0,2,5,-2,-1,2,0,-2,5,-1,-1,4,-1,0,20423,44,82.637955,0,0,1
10034823,30,30,17,30,4,30,7,30,21,13,30,10,30,0,0,0,0,1,0,1,0,0,0,0,1,0,1016.5529,0,1800,2,2,5,2,2,7,2,3,8,4,8,4,2,0,19328,9,1098.9922,0,8,0
10036020,30,30,-3,22,23,30,22,30,-7,2,-4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,753.9693,0,9100,2,1,4,5,5,4,6,6,7,2,5,3,2,0,19328,13,759.30005,0,0,1
10068805,30,30,-6,-17,3,-2,-17,3,-27,0,-25,-9,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,328.07498,47.280712,10100,24,28,28,22,26,28,25,26,28,26,29,24,25,0,20423,41,680.58435,0,0,1
10069450,30,30,3,0,10,14,15,8,3,1,6,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,130.035,22.5,1600,0,2,2,3,2,4,1,3,2,2,0,5,-1,0,20058,59,97.334068,0,0,0
10081565,30,30,-8,-7,-4,-5,-10,-12,-11,-16,0,-7,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1022.0685,0,1600,24,22,26,22,22,23,24,27,27,25,28,25,26,1,20789,20,173.2325,0,2,0
10083607,30,30,24,23,25,5,12,25,23,24,11,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,783.32715,119.36428,1100,3,-1,6,3,-1,4,3,0,2,0,0,2,3,1,20423,31,246.90613,0,1,0
10097162,30,30,-7,1,8,-1,-8,-10,-9,0,-3,-2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1351.4414,0,3300,15,14,19,13,14,16,18,14,19,16,19,20,18,0,19693,39,325.38129,0,3,0
10102455,30,5,4,-7,6,-3,-20,-21,-22,0,30,-19,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,434.0336,190.06429,700,24,24,26,25,24,26,24,25,27,24,24,27,26,1,20789,29,164.92448,0,0,1
10108876,30,30,-20,-6,-4,-10,-8,6,-13,-3,-17,-4,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.6237,124.73785,2600,25,24,22,21,20,22,23,23,22,21,27,27,24,0,20789,58,409.3938,0,0,1
10109897,30,30,-5,1,-2,-7,-2,-2,-7,-3,-8,-7,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,174.47643,0,1100,19,13,17,13,13,16,14,16,19,16,16,16,17,0,20789,12,172.53084,0,0,0
10109900,30,30,-8,-5,2,-10,-6,-5,-9,-6,-11,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,935.62787,0,10200,13,9,12,12,8,14,9,13,15,12,14,14,12,0,19693,12,1013.7875,0,0,1
10156714,30,17,2,-12,-1,8,19,3,-8,4,-8,-1,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,260.6257,107.33785,800,17,12,12,13,11,11,11,12,13,13,12,15,12,0,20058,29,102.45069,0,0,1
10162114,30,30,11,19,30,-13,17,17,30,22,30,-13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1411.1156,0,10100,10,9,14,8,12,13,9,10,15,8,11,15,12,0,20789,11,1358.7999,0,0,1
10166704,30,30,0,23,8,-6,1,7,20,5,3,-4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,234.22214,0,7200,7,4,5,2,4,8,7,8,9,3,8,8,5,0,19328,23,339.00089,0,0,1
10174022,30,30,10,17,-11,16,-8,7,3,2,-4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11.004999,0,1200,14,12,13,10,11,12,11,14,13,10,15,15,15,0,20423,48,87.150826,0,0,0
