id_cpte,delqcycle1,delqcycle2,delqcycle3,delqcycle4,delqcycle5,delqcycle6,delqcycle7,delqcycle8,delqcycle9,delqcycle10,delqcycle11,delqcycle12,delqcycle13,avg_balance,avg_cashbalance,creditlimit_max,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,date,num,avg_pay,total_reversal
43198466,0,0,0,0,0,0,0,0,0,0,0,0,0,227.32358,40.784283,5200,0,3,2,-1,2,2,0,-1,2,0,2,1,-1,20423,46,111.95217,0
47074557,0,0,0,0,0,0,0,0,0,0,0,0,0,3445.6492,44.640003,10100,3,1,7,4,2,6,5,7,7,2,5,4,4,19693,20,663.2860099999999,0
57097523,0,0,0,0,0,0,0,0,0,0,1,0,0,2131.8743,0.0,5900,14,13,15,15,12,13,17,13,16,15,14,18,14,19693,12,1833.1909,0
51833739,0,0,0,0,0,0,0,0,0,0,0,0,0,286.72283999999996,0.0,1100,25,19,20,22,21,20,21,19,19,19,20,23,20,20789,13,246.03769,0
36106277,0,1,0,0,0,0,0,0,1,0,0,1,1,5979.6475,0.0,12500,7,6,9,9,6,12,11,10,9,6,13,9,10,20058,12,1050.5834,0
42336177,0,0,0,0,0,0,0,0,0,0,0,0,0,2103.178,37.5,4300,24,22,20,19,18,23,25,19,23,20,21,22,23,20789,29,164.21206999999998,0
71888605,0,0,0,0,0,0,0,0,0,0,0,0,0,1054.495,0.0,9400,23,20,23,20,23,25,26,23,25,23,23,23,22,20058,12,974.0275300000001,0
86464290,0,0,0,0,0,0,0,0,0,0,0,0,1,1839.0677,150.70143000000002,3100,2,2,8,5,1,3,3,6,4,2,4,7,5,20789,23,150.2713,0
41678325,0,0,0,0,0,0,0,0,0,0,0,0,0,415.185,0.0,5000,1,0,5,-1,0,5,3,-1,2,2,0,4,-1,20058,24,240.84167000000002,0
17367628,0,0,0,0,0,0,0,0,0,0,0,0,0,109.19928999999999,0.0,3100,26,24,23,23,24,25,26,23,23,21,26,26,22,20423,11,183.99091,0
62866751,0,0,0,0,0,0,0,0,0,0,0,0,0,776.25,0.0,15200,19,14,18,18,14,20,19,18,21,15,20,21,19,20789,14,765.4928,0
48999581,0,0,0,0,0,0,0,0,0,0,0,0,0,1352.2194,270.01215,5200,18,16,21,16,15,21,20,18,18,18,19,21,19,19693,12,1336.2825,0
56105049,0,0,0,0,0,0,0,0,0,0,0,0,0,364.85284,0.0,10300,20,19,18,15,19,20,19,21,18,15,22,18,22,19328,31,472.79580999999996,0
38538641,0,0,1,1,0,0,0,1,0,0,0,0,0,398.12003,0.0,1100,3,2,6,3,3,4,4,3,6,2,0,4,-1,19328,13,331.63461,0
